1 minute time series of wind speed from a met tower
timestamp	Un1	Uw1	Uz1
5/19/12 12:19 PM	-10.49	-1.804	-0.224
5/19/12 12:19 PM	-10.89	-1.644	-0.288
5/19/12 12:19 PM	-10.85	-1.672	-0.194
5/19/12 12:19 PM	-10.96	-1.491	-0.102
5/19/12 12:19 PM	-11.03	-1.337	-0.047
5/19/12 12:19 PM	-11.08	-1.346	0.144
5/19/12 12:19 PM	-11.21	-1.511	0.209
5/19/12 12:19 PM	-11.04	-1.399	0.283
5/19/12 12:19 PM	-10.88	-1.745	0.16
5/19/12 12:19 PM	-10.86	-1.547	0.471
5/19/12 12:19 PM	-11.08	-2.044	0.261
5/19/12 12:19 PM	-10.95	-2.277	0.173
5/19/12 12:19 PM	-11.07	-2.232	0.2
5/19/12 12:19 PM	-10.69	-2.331	0.226
5/19/12 12:19 PM	-10.82	-2.574	0.139
5/19/12 12:19 PM	-10.83	-2.688	0.19
5/19/12 12:19 PM	-11.1	-2.662	-0.015
5/19/12 12:19 PM	-11.28	-2.784	-0.149
5/19/12 12:19 PM	-11.21	-2.65	0.007
5/19/12 12:19 PM	-11.45	-2.41	0.168
5/19/12 12:19 PM	-11.35	-2.602	-0.007
5/19/12 12:19 PM	-11.47	-2.595	0.135
5/19/12 12:19 PM	-11.19	-2.886	0.331
5/19/12 12:19 PM	-11.36	-3.002	0.268
5/19/12 12:19 PM	-11.34	-2.39	0.446
5/19/12 12:19 PM	-11.5	-2.147	0.448
5/19/12 12:19 PM	-11.65	-1.832	0.465
5/19/12 12:19 PM	-12.07	-1.062	0.535
5/19/12 12:19 PM	-12.08	-1.105	0.033
5/19/12 12:19 PM	-11.85	-0.966	-0.128
5/19/12 12:19 PM	-11.82	-0.986	-0.124
5/19/12 12:19 PM	-11.98	-1.216	-0.069
5/19/12 12:19 PM	-11.66	-1.348	-0.038
5/19/12 12:19 PM	-11.69	-1.607	0.186
5/19/12 12:19 PM	-11.88	-1.754	0.065
5/19/12 12:19 PM	-11.86	-1.149	-0.02
5/19/12 12:19 PM	-12.01	-1.035	0.023
5/19/12 12:19 PM	-12.12	-1.012	0.036
5/19/12 12:19 PM	-12.04	-1.16	-0.197
5/19/12 12:19 PM	-11.98	-1.14	-0.054
5/19/12 12:19 PM	-12.29	-1.576	-0.019
5/19/12 12:19 PM	-12.5	-1.645	-0.181
5/19/12 12:19 PM	-12.29	-1.693	-0.148
5/19/12 12:19 PM	-12.48	-1.842	-0.087
5/19/12 12:19 PM	-12.36	-1.524	0.086
5/19/12 12:19 PM	-12.39	-1.879	-0.171
5/19/12 12:19 PM	-11.98	-2.52	-0.297
5/19/12 12:19 PM	-12.04	-2.035	-0.527
5/19/12 12:19 PM	-12.12	-2.045	-0.343
5/19/12 12:19 PM	-11.84	-2.123	-0.216
5/19/12 12:19 PM	-11.73	-2.293	-0.102
5/19/12 12:19 PM	-11.81	-2.093	-0.195
5/19/12 12:19 PM	-12.21	-1.989	-0.333
5/19/12 12:19 PM	-11.69	-2.087	-0.191
5/19/12 12:19 PM	-11.77	-1.99	-0.285
5/19/12 12:19 PM	-11.44	-1.815	-0.533
5/19/12 12:19 PM	-11.68	-1.999	-0.558
5/19/12 12:19 PM	-11.31	-2.765	0.233
5/19/12 12:19 PM	-11.26	-2.604	0.217
5/19/12 12:19 PM	-11	-2.566	-0.198
5/19/12 12:19 PM	-11.25	-2.512	0.033
5/19/12 12:19 PM	-11.33	-2.809	0.174
5/19/12 12:19 PM	-11.57	-2.611	0.148
